,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,"Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training",Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary
Lateral_Orbital_Cortex,1.35029000,1.28167300,1.24959700,1.47950600,1.49189900,1.57956100,1.39011200,1.54356600,,1.58101900,1.39065900,1.66740500,1.30819100,1.60179500,1.15956600,1.56160900,1.47576900,1.45654200,1.40378100,1.50975900,1.51531800,1.57099500,1.36623700,1.45945800,1.57008400,1.39567100,1.57974300
Lateral_Parietal_Association_Cortex,0.08246813,0.08019000,0.08893801,0.09969075,0.12465900,0.10014640,0.09531675,0.10442930,,0.11463530,0.08893801,0.10798310,0.08055450,0.12064950,0.07827638,0.10798310,0.09650138,0.09513450,0.08574863,0.08711550,0.09112500,0.09586351,0.08319712,0.08237700,0.09303863,0.08228588,0.08064563
Primary_Motor_Cortex,3.90479800,3.72837900,3.88912400,4.11228900,4.52800100,4.69175300,3.53373600,4.24205100,,4.04558600,4.09862000,4.24451200,4.09069300,4.51697500,3.75580800,4.25644900,3.98562500,4.08331200,4.11948800,4.12696000,4.10244800,4.25253100,3.87746000,4.24624300,4.30866300,4.19986000,4.42858400
Secondary_Motor_Cortex,3.32086800,3.32624500,3.42684700,3.66213200,3.47441400,3.91956000,3.18245000,3.67015100,,3.39121700,3.25571400,3.24159000,3.34219200,3.64226600,3.32825000,3.36151000,3.76236900,3.19302000,3.51660500,3.48070200,3.49746900,3.62714000,3.33043700,3.52826900,3.72883500,3.63479400,3.78642600
Medial_Orbital_Cortex,0.62821580,0.69018080,0.73674570,0.72872660,0.72143660,0.79734380,0.61855650,0.75460610,,0.77866320,0.61591390,0.67177350,0.66229650,0.78795790,0.63659920,0.64580290,0.74093740,0.69273230,0.69892880,0.65136150,0.66867520,0.76955060,0.63441230,0.69163880,0.75269250,0.70148030,0.75925350
Medial_Parietal_Association_Cortex,0.19345840,0.20986090,0.19619210,0.21405260,0.27082350,0.23683390,0.21669520,0.23145750,,0.23974990,0.19664770,0.25551450,0.18480150,0.27692890,0.19491640,0.23455580,0.20503130,0.21879110,0.18215890,0.19190930,0.19090690,0.21241240,0.17496000,0.19646550,0.19564540,0.19200040,0.20238860
Parietal_Cortex_Posterior_Area_Rostral_Part,0.04009500,0.03745238,0.03973050,0.04191750,0.05722650,0.06005138,0.04392225,0.04228200,,0.05339925,0.03672338,0.05130338,0.03745238,0.04975425,0.03371625,0.05020988,0.04583587,0.04711163,0.03508313,0.03617663,0.04000388,0.04456013,0.03171150,0.03918375,0.03745238,0.03590325,0.03963938
Primary_Somatosensory_Cortex,0.31255880,0.34554600,0.32568080,0.38673450,0.49562890,0.49098150,0.43147690,0.38709900,,0.51057340,0.34855310,0.52123500,0.34408800,0.46209490,0.33133050,0.51112010,0.37343030,0.46902040,0.32540740,0.40195240,0.39101740,0.38937710,0.31283210,0.40605300,0.38017350,0.35347390,0.34217440
Primary_Somatosensory_Cortex_Barrel_Field,4.26875100,4.26401200,4.38602900,4.84466100,4.79208200,5.51196900,4.54650000,4.89933600,,5.11065500,4.89031500,5.03939500,4.22373500,4.92913300,4.26501500,4.81395100,4.27658700,4.73485500,4.95328200,5.18874900,5.30365800,5.13188700,4.14181400,5.06071800,4.86133700,4.36579900,5.39970300
Primary_Somatosensory_Cortex_Dysgranular_Zone,0.75533520,0.75551740,0.75642870,0.80627400,0.86140470,0.86687210,0.78103240,0.85703060,,0.85283890,0.78458630,0.84582230,0.72216560,0.88482380,0.75624640,0.91717310,0.72253010,0.75287480,0.79734380,0.84892050,0.83333810,0.83798550,0.71050170,0.76007370,0.79934850,0.73200710,0.89439190
