,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,"Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training",Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary
Ventral_Pallidum,0.23863650,0.22143530,0.19733370,0.22686640,0.17612530,0.16117440,0.15967820,0.19048930,,0.18226450,0.21327540,0.16899270,0.22569660,0.16062700,0.19542230,0.18103740,0.17588540,0.18913010,0.22532950,0.23129290,0.23182520,0.21594650,0.24734630,0.21985550,0.22552420,0.23078470,0.24082770
Periaquaductal_Grey,0.16374960,0.15666690,0.14760760,0.15078520,0.12713140,0.13769850,0.13432070,0.13474920,,0.13287270,0.15763230,0.12099390,0.17080030,0.12876880,0.14567290,0.10873620,0.14884060,0.14583960,0.17782550,0.16754910,0.16649280,0.16414070,0.18383850,0.17150890,0.17110380,0.17066770,0.16479710
Anterior_Pretectal_Nucleus,0.21365130,0.19656300,0.17468550,0.17358200,0.16607890,0.16316480,0.17078000,0.18223960,,0.15016790,0.19208710,0.14368960,0.19478210,0.14414170,0.18918710,0.16637070,0.17637680,0.17538610,0.18819640,0.20233740,0.18836330,0.18525010,0.20904150,0.19416150,0.19714210,0.20540880,0.19923640
Ventral_Tegmental_Area,0.25957550,0.26409830,0.23662270,0.27236710,0.23228710,0.25210910,0.23264970,0.25005230,,0.24283570,0.26077890,0.21393140,0.26238390,0.20893930,0.25288140,0.22105510,0.25067540,0.22643460,0.26106700,0.26282170,0.26060920,0.26194490,0.26646070,0.27630980,0.26651790,0.27460330,0.28966780
Thalamus_Rest,0.20597340,0.19670380,0.17792790,0.19861140,0.16967720,0.17400280,0.17195250,0.17087320,,0.17144300,0.18837200,0.15148690,0.19549320,0.14654960,0.18115040,0.15808220,0.19026230,0.17540810,0.20034380,0.20027710,0.19373800,0.18935830,0.21332990,0.20330780,0.20035840,0.20347020,0.20728970
Ventral_Thalamic_Nuclei,0.21837390,0.20873010,0.18106470,0.20174700,0.19266930,0.20409770,0.17564620,0.17415810,,0.16962670,0.18706180,0.16335640,0.19152300,0.12510990,0.18573450,0.14933370,0.19961790,0.15863100,0.18313930,0.19050640,0.17899010,0.17752380,0.20331020,0.20189940,0.19251020,0.19224670,0.19979200
Latero_Dorsal_Nucleus_of_Thalamus,0.16070830,0.14334200,0.13297380,0.13412780,0.12683870,0.15908330,0.11513690,0.12187910,,0.12602070,0.14304840,0.12677180,0.15922270,0.09133074,0.12933790,0.13689380,0.14485560,0.12052490,0.15394040,0.15894140,0.15521560,0.15966280,0.16974770,0.16777980,0.16745780,0.16762000,0.17440930
Medial_Geniculate_Nucleus,0.19163270,0.18594340,0.17319770,0.16429490,0.15978830,0.16484660,0.16494550,0.17069470,,0.15101820,0.17667230,0.14420360,0.19424330,0.13681120,0.19262410,0.16474940,0.18208010,0.17597910,0.19127600,0.19601350,0.16062260,0.17916750,0.20171740,0.19750210,0.18958620,0.18836340,0.19347150
Lateral_Geniculate_Nucleus,0.24978130,0.23893800,0.22660460,0.21024740,0.22518810,0.21558410,0.20826180,0.21634990,,0.21254480,0.21216170,0.19282860,0.23314770,0.18233190,0.22672080,0.19420630,0.23422790,0.19751350,0.24868070,0.23331720,0.21982300,0.22979250,0.24868890,0.23397870,0.24449070,0.24651330,0.23636300
Zona_Incerta,0.28068210,0.26439230,0.23337150,0.26265360,0.24512710,0.26179020,0.23213510,0.23504190,,0.21588290,0.24971170,0.21355870,0.25182300,0.18182270,0.25610010,0.21232140,0.24458770,0.22332630,0.25594740,0.25518930,0.25723420,0.25065900,0.27362750,0.25995840,0.25609610,0.26686390,0.26869970
Reticular_Nucleus_of_Thalamus,0.31099270,0.28856930,0.27081270,0.27627230,0.26827360,0.25506720,0.28523140,0.27524840,,0.27078380,0.28670110,0.23281040,0.28551100,0.23823220,0.29193090,0.24912550,0.28805380,0.27437100,0.29265140,0.29784450,0.27687130,0.27912980,0.29861830,0.30820210,0.28977330,0.28950310,0.28786700
Subbrachial_Nucleus_and_Peripeduncular_Nucleus,0.21536140,0.20574890,0.17760220,0.19168660,0.16195810,0.20187180,0.14631470,0.15551020,,0.14821740,0.18065450,0.14403690,0.20517510,0.12347130,0.18464970,0.15481440,0.18855660,0.15622330,0.19006230,0.20443750,0.18676030,0.19756590,0.23073200,0.20497310,0.19921670,0.21157510,0.21886520
Deep_Mesencephalic_Nuclei,0.20825460,0.21018310,0.19685630,0.20546330,0.18477190,0.18477090,0.20095920,0.19570960,,0.19345560,0.20656120,0.16434640,0.22426120,0.17882750,0.20270760,0.17551080,0.19937140,0.20116720,0.21545010,0.19812640,0.20147620,0.21616140,0.21721150,0.21185670,0.21420700,0.21750140,0.21107000
Superior_Colliculus,0.20251590,0.19005200,0.17638580,0.17974950,0.16092710,0.15903920,0.17332340,0.16790210,,0.15428190,0.18702130,0.15128390,0.18618660,0.16398880,0.17837790,0.15127280,0.17667880,0.16530640,0.18883350,0.19130700,0.17038420,0.17648400,0.20042770,0.18723110,0.19135710,0.18802210,0.18405420
Inferior_Colliculus,0.21015140,0.18981540,0.19003620,0.18759590,0.16855530,0.17533990,0.18887640,0.18272030,,0.18082470,0.19400230,0.16389960,0.19879580,0.17835310,0.18813080,0.16044420,0.18047770,0.19272360,0.20610810,0.20321750,0.19109490,0.19440660,0.20953000,0.20327550,0.20107980,0.20173720,0.18898160
Substantia_Nigra,0.29343910,0.28936750,0.26235010,0.29713770,0.27543810,0.29309600,0.26848130,0.27409850,,0.26120380,0.28000520,0.23309550,0.28923080,0.22250080,0.26391150,0.25750370,0.28121330,0.25390230,0.28080130,0.27921570,0.27737480,0.28658610,0.29837260,0.31051280,0.29653460,0.30458120,0.30697580
Red_Nucleus_Parvicellular,0.21701630,0.24131260,0.21967270,0.23091150,0.20219790,0.23625600,0.20059040,0.19789120,,0.20574850,0.21999740,0.19882590,0.23755720,0.16636930,0.20943550,0.16870070,0.21702480,0.20068070,0.23011570,0.21962520,0.21115820,0.22563590,0.24005160,0.22273110,0.23190980,0.24040370,0.24171340
Midbrain_Reticular_Nucleus,0.25235500,0.24911670,0.23279540,0.23747060,0.21720120,0.20867350,0.23000800,0.22793270,,0.21483540,0.24415850,0.18489050,0.25723480,0.19400700,0.23851620,0.20574120,0.23824480,0.23037120,0.25951950,0.25551680,0.24745490,0.25306990,0.26403080,0.25432840,0.25951950,0.26401360,0.25250990
Rostral_Linear_Nucleus,0.25191170,0.25403830,0.23233250,0.24790210,0.20468020,0.22488020,0.21742910,0.22079540,,0.22898000,0.24242630,0.19011470,0.27256840,0.18697230,0.24533200,0.19371370,0.23796320,0.21911250,0.25882120,0.25578570,0.24834160,0.25400700,0.27414100,0.25506300,0.26056430,0.26333590,0.26278910
Cuneiform_Nucleus,0.20914830,0.20099010,0.18810250,0.19569740,0.17280410,0.17693000,0.21164280,0.17919460,,0.18829060,0.21266080,0.14737190,0.22357560,0.14770230,0.19614010,0.14236820,0.19851890,0.18717700,0.24968260,0.22688530,0.22090230,0.24250420,0.24382420,0.21410720,0.23270640,0.23019920,0.22412790
Precuneiform_Nucleus,0.23618800,0.22004980,0.21308650,0.20729450,0.18288090,0.17581860,0.22037220,0.21148710,,0.19318430,0.22424890,0.16632300,0.22860130,0.20150460,0.20964570,0.17638600,0.19711340,0.20934340,0.23595700,0.22617290,0.21394450,0.22933530,0.22787700,0.22154940,0.22931900,0.23129760,0.22666540
Brain_Stem_Rest,0.27471180,0.25134580,0.23462580,0.25001870,0.23943930,0.22725930,0.23732770,0.23770140,,0.22858170,0.25641160,0.20964490,0.24294880,0.21325490,0.24592230,0.20312820,0.24931980,0.22417680,0.25486700,0.26070430,0.25797260,0.25375210,0.27252100,0.26893870,0.26112190,0.26154130,0.26753530
Interpeduncular_Nucleus,0.15648500,0.15756250,0.14882810,0.17811660,0.15489950,0.19883440,0.14404430,0.14641500,,0.15393540,0.15217190,0.15019670,0.18292950,0.15980710,0.16604010,0.15163130,0.16696900,0.13941890,0.16627290,0.17509150,0.16746000,0.17228120,0.17754190,0.17708220,0.16808650,0.17500680,0.18949090
Cerebellar_Cortex,0.22981700,0.21639120,0.21008080,0.20720440,0.19096940,0.17533570,0.18910680,0.18121560,,0.19450600,0.21133280,0.17926800,0.20858310,0.17059720,0.20309070,0.16001130,0.19915820,0.19820890,0.20864770,0.20759280,0.20285470,0.19785360,0.21721490,0.21133130,0.20648500,0.21027170,0.20062730
Dentate_(Lateral)_Nucleus_of_Cerebellum,0.31459210,0.29722550,0.28478100,0.29032830,0.30066000,0.29076080,0.30151380,0.28799680,,0.27985220,0.29549960,0.27942280,0.32517000,0.26943400,0.30222560,0.24336490,0.29581320,0.27821040,0.30919950,0.30437910,0.29894980,0.28606850,0.32801100,0.31504470,0.30004010,0.30416590,0.30219320
Interposed_Nucleus_of_Cerebellum,0.26428550,0.23419250,0.24078190,0.23848190,0.23157920,0.22322730,0.24500030,0.23445760,,0.22026800,0.24314830,0.20161060,0.27575280,0.23797840,0.23786760,0.20739040,0.23793860,0.23960230,0.25874360,0.23700690,0.24112950,0.24356200,0.26730950,0.24802400,0.24273030,0.25630340,0.23690990
Fastigial_Medial_Dorsolateral_Nucleus_of_Cerebellum,0.26703560,0.24720820,0.26246600,0.26192720,0.24567390,0.22338300,0.27128170,0.25845810,,0.25324790,0.26498890,0.21367750,0.28141190,0.27302620,0.27569720,0.21996980,0.26947980,0.25196020,0.28535220,0.26708140,0.25926660,0.26821540,0.28212600,0.28550690,0.25499440,0.27839260,0.27669980
Fastigial_Medial_Nucleus_of_Cerebellum,0.30846030,0.27644260,0.27094930,0.28249080,0.28022380,0.25558290,0.28261750,0.26352090,,0.26627800,0.27669410,0.23561030,0.30540510,0.23128970,0.28859320,0.22793160,0.28635250,0.26039610,0.29424830,0.27325420,0.28059290,0.27081790,0.29972280,0.29001650,0.27863600,0.29212070,0.27750890
Ventral_Lateral_Lemniscus_Nucleus,0.26231620,0.23735160,0.21383850,0.24000500,0.25845250,0.22796070,0.26681630,0.27179930,,0.24355450,0.23650160,0.20617080,0.24879830,0.24536330,0.26764180,0.24724090,0.26302000,0.26297200,0.26039430,0.24190960,0.25606180,0.23963450,0.26473420,0.28755160,0.26613440,0.26543080,0.25468140
Parabrachial_Nucleus,0.21737560,0.21686990,0.17645710,0.18374830,0.17908830,0.16569180,0.17847860,0.16135350,,0.17835320,0.20849030,0.13749070,0.22294670,0.11997790,0.18611260,0.12826960,0.19545490,0.16366180,0.23908690,0.21900300,0.21264750,0.22476340,0.23525750,0.21156280,0.21926580,0.22781730,0.21978650
Parabrachial_Medial_Nucleus_and_Koelliker_Fuse_Nucleus,0.24853600,0.21980880,0.20032560,0.21741520,0.21256950,0.20616090,0.21262290,0.19456570,,0.20067500,0.21754140,0.18128820,0.24096970,0.14698110,0.21465490,0.15724430,0.21461780,0.19344420,0.24479280,0.23093920,0.23704920,0.24797060,0.25332670,0.23108400,0.24493760,0.24431370,0.22501840
Parvicellular_Reticular_Nucleus_and_Principal_Sensory_Trigeminal_Nucleus,0.19722200,0.18789080,0.16447480,0.17664760,0.18255480,0.17452370,0.17286920,0.17653790,,0.18440970,0.18731810,0.15859070,0.20083680,0.17012740,0.17670750,0.15531800,0.18900000,0.17627700,0.18853090,0.19518510,0.18819830,0.18827390,0.19598010,0.19228790,0.19685410,0.19131410,0.18487130
Central_Gray,0.20449110,0.18552180,0.16495470,0.18196800,0.17749090,0.17872900,0.16282460,0.16749980,,0.15406400,0.17446290,0.16578640,0.19217890,0.12980990,0.17758140,0.13115490,0.18650250,0.16410350,0.19234490,0.19404390,0.18175800,0.19056200,0.20225840,0.19311920,0.19298170,0.19125200,0.18358880
Pedunculotegmental_Medial_Paralemniscial_and_Supratrigemnial_Nuclei,0.20064400,0.18930830,0.17042150,0.18424560,0.17077940,0.15789870,0.17801020,0.16510730,,0.17830010,0.18454910,0.14389750,0.21307130,0.14556500,0.19412950,0.14789930,0.17694760,0.18502150,0.22454350,0.20214830,0.21463170,0.22171030,0.23138230,0.20840100,0.21468550,0.21788960,0.19190830
Motor_Root_of_Trigeminal_Nerve,0.26723610,0.26965230,0.23059820,0.26108300,0.27209840,0.27284940,0.26325330,0.27290100,,0.27630790,0.26138510,0.23483400,0.26225290,0.26226830,0.27334970,0.25164220,0.25283970,0.27086290,0.26548380,0.27414730,0.25857040,0.27688940,0.26503080,0.27008630,0.27892940,0.25553000,0.26675970
Trigeminal_Motor_Nucleus,0.17077350,0.15922460,0.14695810,0.16105410,0.16054510,0.16217180,0.16964900,0.15916510,,0.17224800,0.16936220,0.14851020,0.17523460,0.16155310,0.17379400,0.15257840,0.16456390,0.17706420,0.17353620,0.17364460,0.16249040,0.16605480,0.16506640,0.14870430,0.16505230,0.16543690,0.16249610
Pontine_Reticular_NucleusOral,0.23432230,0.22784260,0.19855070,0.21265740,0.22118120,0.21073130,0.20578980,0.19880330,,0.21306640,0.21497100,0.17695830,0.21898330,0.18490030,0.21227140,0.17573120,0.21572810,0.20397470,0.21416520,0.21228130,0.21019240,0.21227050,0.22404270,0.22581340,0.21324460,0.21946350,0.21350260
Raphe_Nucleus,0.31166990,0.30807610,0.27799910,0.29928410,0.29451880,0.28914990,0.27581720,0.27092680,,0.28762670,0.29670750,0.24369700,0.30554520,0.20728910,0.29051610,0.22767860,0.30015000,0.27003040,0.30236700,0.30804390,0.30524740,0.30425120,0.31964730,0.31134690,0.30606870,0.31445380,0.31083010
Trigeminal_Sensory_Nucleus,0.26971700,0.25973550,0.23120070,0.26272150,0.25596110,0.23234730,0.26026610,0.25621330,,0.25848850,0.26016950,0.22820080,0.27582570,0.22971330,0.26572590,0.23041060,0.25433180,0.26288690,0.27058670,0.25964280,0.26051800,0.26932610,0.26394170,0.25485720,0.27694230,0.26750280,0.26149650
Dorsal_Tegmentum,0.16740800,0.16580360,0.14283830,0.14646970,0.14214470,0.14586630,0.13584350,0.13957440,,0.14155650,0.15430660,0.12272380,0.16546720,0.11933790,0.14452820,0.10759590,0.15042820,0.14053680,0.16730180,0.16575530,0.16210800,0.16173510,0.18287460,0.17324540,0.16558150,0.17319580,0.16124150
Tegmental_Nucleus,0.26158220,0.26240880,0.21627610,0.22426660,0.21227410,0.18565010,0.20070010,0.21959340,,0.18763660,0.24938320,0.15912790,0.26953280,0.11821560,0.24273490,0.11979310,0.20962960,0.19440270,0.28880990,0.26103220,0.24550310,0.23791970,0.31018410,0.25726340,0.25446460,0.27989440,0.27369190
Cochlear_Nucleus,0.23636130,0.24041340,0.26796420,0.25380360,0.25131450,0.27800230,0.23831900,0.26990540,,0.25008050,0.24725370,0.26148810,0.29546990,0.25338770,0.26864430,0.29237190,0.25690230,0.27592690,0.28458070,0.25743090,0.27096320,0.27671020,0.27103560,0.26027640,0.26115260,0.27652440,0.27111330
Pontine_Nucleus,0.33115800,0.29973460,0.26588800,0.32224100,0.29647720,0.30614750,0.26174750,0.27215400,,0.26257010,0.29537730,0.26563610,0.34367000,0.22589540,0.29224080,0.26696260,0.31154670,0.26535670,0.30748440,0.32075370,0.29086760,0.30276020,0.33332950,0.33661310,0.32735600,0.32584110,0.32503540
Reticulotegmental_Nucleus_of_Pons,0.34175240,0.31162520,0.25743310,0.29583110,0.27785830,0.25552840,0.24533000,0.26165500,,0.27486770,0.30696490,0.22656320,0.29449880,0.21990440,0.26769080,0.21701330,0.29715760,0.26633580,0.26927370,0.28803500,0.26045220,0.26326670,0.27327550,0.28896160,0.26546140,0.27652950,0.28282310
Olivary_Complex,0.20805610,0.19485730,0.16343600,0.18710850,0.18102620,0.19634530,0.17005570,0.16263950,,0.17665380,0.19495960,0.16219360,0.19032040,0.14456580,0.16541270,0.14574200,0.19070080,0.16360150,0.17786640,0.20048410,0.17452150,0.18625570,0.18721710,0.19177100,0.18653970,0.18356490,0.18820050
Pontine_Reticular_NucleusCaudal,0.18870020,0.15962040,0.12889790,0.16732380,0.15351000,0.15964100,0.15458080,0.14461510,,0.15386880,0.16087720,0.14212380,0.16250950,0.12631320,0.14424950,0.12889180,0.16262080,0.14189310,0.15135250,0.16599790,0.14523420,0.16860280,0.15628690,0.15163920,0.15146730,0.14562710,0.15884740
Spinal_Trigeminal_Nucleus,0.22652560,0.18692420,0.19089800,0.18375780,0.19647670,0.18666340,0.18285120,0.17089530,,0.16854140,0.19006890,0.19274110,0.19021490,0.14688900,0.21077060,0.17322040,0.21200140,0.17336850,0.20948300,0.22399740,0.20264760,0.20591550,0.24671690,0.20105430,0.22192090,0.19566290,0.19107580
Vestibular_Nuclei,0.26917590,0.23934300,0.22620380,0.24715680,0.24605510,0.23921960,0.23231280,0.22199170,,0.22177800,0.23197510,0.21456280,0.25283420,0.18181450,0.24616830,0.18717730,0.23539400,0.21807870,0.25671890,0.24811240,0.24647810,0.25325610,0.26973380,0.24597370,0.25413240,0.25671600,0.24836750
Gigantocellular_Reticular_Nucleus,0.21415590,0.18617930,0.16612500,0.17637030,0.18325560,0.17972890,0.18681190,0.17990100,,0.17703390,0.18928280,0.18005540,0.19873700,0.15198170,0.18717170,0.15930720,0.18821070,0.17821460,0.19557740,0.20839120,0.19268290,0.20475060,0.20204390,0.19336160,0.20112840,0.18859690,0.18602330
Cuneate_Nucleus,0.27586100,0.23568420,0.22968930,0.25146000,0.23005640,0.21450050,0.22064300,0.20810380,,0.20138330,0.22144930,0.22258490,0.21984360,0.18337460,0.23048900,0.18540660,0.24431700,0.18502390,0.22292080,0.21660200,0.22596060,0.21472010,0.26235260,0.23767630,0.22771380,0.24090740,0.23889740
Anterior_Commisure,0.52280870,0.50910450,0.44853640,0.50434580,0.46583940,0.46371530,0.45725410,0.47795870,,0.45848610,0.49933910,0.42929440,0.48246520,0.38658200,0.49176730,0.45398100,0.49883590,0.46242430,0.49428260,0.50609740,0.49914370,0.49402740,0.49723320,0.50823630,0.49523310,0.49563430,0.50224640
Optic_Tracts,0.55183250,0.52579060,0.49991600,0.52647370,0.50709330,0.49433130,0.51468620,0.51692520,,0.49034940,0.49794000,0.48118390,0.52651130,0.47480310,0.52008550,0.48252890,0.51278860,0.51493220,0.54090260,0.52783010,0.35803260,0.53807580,0.52505680,0.51717400,0.52030310,0.52933600,0.53588000
Fimbria,0.57005560,0.53626140,0.51591150,0.54178460,0.54287060,0.53676890,0.52352850,0.53912010,,0.51329480,0.51675180,0.51174680,0.57551880,0.45979440,0.55444460,0.49545790,0.52443260,0.51052900,0.53953760,0.53248740,0.54172200,0.53210110,0.57179950,0.54563160,0.54351170,0.54460130,0.54521730
Corpus_Callosum,0.43149510,0.41709120,0.39950500,0.40409360,0.39028230,0.37153710,0.39620450,0.39245990,,0.35146100,0.39432270,0.32724380,0.40365980,0.28870190,0.40086610,0.32476170,0.41006320,0.37250570,0.38962700,0.39446830,0.38115800,0.36386270,0.39894340,0.40847840,0.38293020,0.36934230,0.38715990
Fornix,0.37020370,0.35245070,0.32761250,0.35621820,0.31068020,0.30577930,0.33949740,0.32910940,,0.31435990,0.34966030,0.27619760,0.38222440,0.28873120,0.35767310,0.30560040,0.33418330,0.32940070,0.34986730,0.35405120,0.33622430,0.34213440,0.36885280,0.36468360,0.33878410,0.34039270,0.33839580
Stria_Terminalis,0.61805190,0.58167600,0.56149850,0.59938530,0.56966160,0.54672250,0.57318790,0.57400240,,0.56532630,0.57074340,0.50044660,0.61328620,0.49745260,0.58198640,0.53448980,0.58046480,0.56829470,0.60803100,0.60292990,0.60180080,0.58599560,0.61901920,0.62570190,0.60270850,0.59713240,0.60555980
Cingulum,0.37046950,0.35988470,0.34480930,0.33541630,0.31370410,0.29763750,0.30679070,0.31622390,,0.28603160,0.31772870,0.29244040,0.35724650,0.23117430,0.33491050,0.24365950,0.31701610,0.29473830,0.32709670,0.32095540,0.31293550,0.31070630,0.34786020,0.32711620,0.33036030,0.31786290,0.33664900
Lateral_Olfactory_Tract,0.37530540,0.37038420,0.34223370,0.35987640,0.37826200,0.33202470,0.35525460,0.34084080,,0.35963320,0.34428570,0.35166320,0.36156480,0.32097370,0.33718880,0.34855210,0.36582260,0.35668240,0.36311370,0.37681200,0.36134890,0.35753410,0.37613080,0.37545260,0.37584160,0.39637310,0.37317710
Ventral_Hippocampal_Commissure,0.48509170,0.47632740,0.45439650,0.46557580,0.37449740,0.38303580,0.43918970,0.42472810,,0.36871370,0.46990860,0.34058970,0.48377640,0.29005970,0.46554740,0.39613220,0.44865520,0.42332860,0.50818490,0.50077890,0.49538290,0.46346850,0.51901550,0.51330270,0.49452920,0.47873820,0.52664980
Internal_Capsule,0.53223680,0.49551780,0.47909820,0.47311660,0.48290430,0.43853360,0.47783800,0.47536780,,0.46758040,0.47811170,0.40473990,0.50229780,0.43007110,0.50140140,0.42444040,0.49759740,0.47082170,0.46864920,0.47882300,0.46932040,0.46703620,0.49358290,0.49525250,0.46264590,0.46779030,0.45556630
Fasciculus_Retroflexus,0.42224580,0.39137250,0.37071510,0.37251900,0.34396800,0.30842580,0.38074350,0.33730470,,0.37814180,0.38532130,0.33155220,0.39519480,0.30069560,0.36443250,0.32528280,0.40880380,0.37016470,0.39343320,0.36909960,0.39673950,0.38693720,0.42040100,0.39658950,0.34573840,0.41848000,0.38025710
Stria_Medularis,0.48725520,0.46295530,0.44232020,0.46104490,0.43590840,0.40198660,0.43737720,0.43487890,,0.43204320,0.46058410,0.39663530,0.46973190,0.37421800,0.43695000,0.42506110,0.45601620,0.43375050,0.46122450,0.45668670,0.45638220,0.46868480,0.45726320,0.46120640,0.47933150,0.48255400,0.46799190
Mamillothalamic_Tract,0.36905980,0.36843870,0.33312870,0.31485440,0.32011680,0.31949210,0.28658600,0.30234690,,0.31611600,0.33422250,0.27058940,0.33727150,0.26872400,0.32439480,0.27559570,0.35067230,0.28504660,0.30816290,0.34625670,0.34840240,0.32013530,0.36936580,0.37009470,0.33091260,0.34871430,0.35768390
Posterior_Commissure,0.30958520,0.27697390,0.26693750,0.26402850,0.27315950,0.26367510,0.26714770,0.27280710,,0.23771260,0.27528570,0.24735840,0.28619340,0.22907550,0.27390980,0.24136360,0.27240850,0.24294270,0.28581200,0.29793190,0.25179650,0.26239860,0.31665990,0.29521840,0.29449310,0.27510270,0.29018830
Brachium_of_Superior_Colliculus,0.40360230,0.39060000,0.32783050,0.31601400,0.34658760,0.36042510,0.40630300,0.38458650,,0.36431780,0.38529420,0.32495870,0.39605120,0.28334090,0.39954310,0.32663730,0.40141280,0.38389920,0.37909280,0.39929270,0.20621320,0.39147520,0.39004250,0.39592970,0.39483760,0.41667300,0.37146570
Cerebral_Peduncle,0.53999270,0.50887050,0.48478520,0.54341470,0.50676860,0.51927670,0.48760000,0.50464730,,0.47903570,0.52278180,0.46791350,0.52590820,0.43455340,0.50464200,0.45316880,0.52340500,0.48109140,0.49025000,0.50869390,0.50501530,0.49465690,0.51606440,0.51874590,0.49009030,0.50180370,0.52279930
Lateral_Lemniscus,0.31950230,0.31160220,0.30393490,0.30929140,0.32285080,0.31330550,0.32906660,0.32764980,,0.32073120,0.31955850,0.29143620,0.32794240,0.31651430,0.34474750,0.29819430,0.32993150,0.33638310,0.32911510,0.33362550,0.33473070,0.34092020,0.35320360,0.34265080,0.35310590,0.34976610,0.32412660
Spinal_Trigeminal_Nerve,0.48109860,0.48138200,0.43929290,0.46375110,0.49116850,0.47949480,0.45129400,0.45752400,,0.46480440,0.46111360,0.44638440,0.47769110,0.45461490,0.44770440,0.42055510,0.48427020,0.43621530,0.45665430,0.47388210,0.46870220,0.46827930,0.49541010,0.48084390,0.48804310,0.48732840,0.48878600
Pyramidal_Tract,0.52361490,0.50535880,0.42759740,0.45736300,0.49487450,0.47873000,0.45777330,0.45842330,,0.47355500,0.47276500,0.43528020,0.47284830,0.40537020,0.45642680,0.41337700,0.48381800,0.43171550,0.44908290,0.48681070,0.44835620,0.48936260,0.48905500,0.48869500,0.47639540,0.46491820,0.47129440
Vestibulocochlear_Nerve,0.49131570,0.46634950,0.44868200,0.49893920,0.48847070,0.48334700,0.45281150,0.47005300,,0.46838300,0.45057930,0.45462040,0.45478070,0.43368050,0.45459450,0.43051460,0.47478520,0.43952810,0.45648880,0.46347470,0.46545960,0.47616340,0.48413410,0.44552550,0.46000670,0.48750850,0.49399740
Facial_Nerve,0.38306890,0.36589270,0.35337730,0.43124200,0.40220570,0.37778770,0.38588120,0.38363060,,0.40466390,0.38935920,0.40283250,0.42837880,0.36938330,0.39970130,0.38432370,0.41825590,0.40312530,0.47003440,0.44173400,0.45145490,0.45768050,0.45250510,0.40364590,0.40678820,0.41847050,0.40896280
Longitudinal_Fasciculus_of_Pons,0.47966070,0.44436480,0.40645410,0.51452560,0.55168010,0.52774320,0.41941230,0.47076970,,0.45087790,0.49441720,0.54022820,0.42935860,0.52006580,0.44396710,0.44399180,0.46585810,0.47340760,0.47588400,0.46456000,0.47831570,0.52451380,0.50062590,0.58345930,0.52186170,0.54497470,0.57729260
Medial_Longitudinal_Fasciculus_and_Tectospinal_Tract,0.32208120,0.30156110,0.26283250,0.27077710,0.26862150,0.27185070,0.26752700,0.26923680,,0.26851580,0.30380250,0.25715490,0.27196490,0.25750150,0.25133490,0.23735110,0.27197670,0.27377130,0.26917360,0.29736670,0.29509380,0.29593350,0.29544850,0.31131420,0.29491750,0.29508780,0.30832000
Spinocerebellar_Tract,0.53536180,0.48687420,0.45374490,0.45921190,0.51358840,0.50026520,0.48088180,0.47541670,,0.45068230,0.51249180,0.46789970,0.25664850,0.46969340,0.42831030,0.37960610,0.45655640,0.44432330,0.45448050,0.48586690,0.50194890,0.48419530,0.49246090,0.54051660,0.45892920,0.51005820,0.52746550
Medial_Lemniscus,0.33368500,0.32476120,0.28878730,0.33182490,0.31231940,0.30988760,0.30176830,0.30964380,,0.27598760,0.29398730,0.25049870,0.30149780,0.21378780,0.29770120,0.25045200,0.32560080,0.27315050,0.28708140,0.28773150,0.29411860,0.28554260,0.30914330,0.31407980,0.30770260,0.31338580,0.33607690
Ventral_Spinocerebellar_Tract,0.40571090,0.38372590,0.36168440,0.38461180,0.38589710,0.34296320,0.38626030,0.38942150,,0.38420300,0.38703940,0.32145190,0.39297570,0.33346920,0.38842200,0.32720020,0.38809530,0.38734100,0.39019950,0.39788020,0.39793400,0.39168360,0.39845980,0.40050180,0.39619360,0.39887440,0.38952460
Middle_Cerebellar_Peduncle,0.59516980,0.59345360,0.54587340,0.57852380,0.61189230,0.59063730,0.58969210,0.56477320,,0.59381230,0.58381000,0.55454810,0.60748280,0.55882230,0.59720020,0.55205760,0.58022740,0.58535970,0.59920050,0.59152200,0.60294300,0.61174650,0.60841750,0.61258080,0.60383720,0.61098710,0.60678020
Superior_Cerebellar_Peduncle,0.36240840,0.34655850,0.31721880,0.32634850,0.33750450,0.32518110,0.31887770,0.31831000,,0.31321980,0.33121930,0.28543890,0.35730470,0.25544150,0.32080240,0.25940140,0.32889570,0.28834430,0.34176420,0.32589680,0.32108680,0.32542710,0.36152650,0.35183680,0.33323590,0.34764530,0.33995420
Inferior_Cerebellar_Peduncle,0.47165220,0.44667130,0.44590370,0.45337170,0.47697920,0.46755040,0.45729520,0.45867400,,0.46164310,0.44643080,0.42807450,0.45307620,0.43644660,0.45106860,0.40992630,0.46111170,0.44439680,0.47591910,0.46170180,0.43682450,0.45626930,0.47565280,0.46284310,0.46617760,0.48131700,0.47347730
Cerebellar_White_Matter,0.37240220,0.35374550,0.33263400,0.34951370,0.33145030,0.29966880,0.33205390,0.33676970,,0.30988430,0.34147650,0.29936470,0.35595330,0.29083260,0.34092730,0.25608520,0.33717720,0.32884370,0.34214150,0.32842420,0.33079250,0.32249280,0.34426070,0.33549670,0.32708120,0.34075160,0.32531400
